ii fontconfig-2.13.1_3                     Library for configuring and customizing font access
ii fontconfig-devel-2.13.1_3               Library for configuring and customizing font access - development files
ii freetype-2.10.4_2                       Font rendering engine and library API
ii freetype-devel-2.10.4_2                 Font rendering engine and library API - development files
ii fribidi-1.0.10_1                        Free Implementation of the Unicode Bidirectional Algorithm
ii fuse-2.9.9_1                            Filesystem in Userspace
ii gawk-5.1.0_1                            GNU awk utility
ii gcc-10.2.1pre1_3                        GNU Compiler Collection
ii gdbm-1.19_1                             GNU database routines
ii gdk-pixbuf-2.40.0_2                     Image loading library for The GTK+ toolkit (v2)
ii giblib-1.2.4_8                          Programming utility library
ii giflib-5.2.1_1                          Library to handle, display and manipulate GIF images
ii gir-freedesktop-1.68.0_1                Introspection data for some FreeDesktop components
ii git-2.31.1_1                            Git Tree History Storage Tool
ii glib-2.68.1_1                           GNU library of C routines
ii glib-networking-2.68.1_1                Network-related giomodules for glib
ii glibc-2.32_1                            GNU C library
ii glibc-devel-2.32_1                      GNU C library - development files
ii glibc-locales-2.32_1                    GNU C library - locale data files
ii glibmm-2.66.0_1                         C++ bindings for GLib
ii gmp-6.2.1_1                             Library for arbitrary precision arithmetic
ii gnupg2-2.2.27_1                         GNU Privacy Guard (2.x)
ii gnutls-3.6.15_2                         GNU Transport Layer Security library
ii graphite-1.3.14_1                       Reimplementation of the SIL Graphite text processing engine
ii grep-3.6_1                              GNU grep utility
ii grub-2.04_6                             GRand Unified Bootloader 2
ii grub-i386-efi-2.04_6                    GRand Unified Bootloader 2 - i386 EFI support
ii grub-x86_64-efi-2.04_6                  GRand Unified Bootloader 2 - x86_64 EFI support
ii gsettings-desktop-schemas-40.0_1        Collection of GSettings schemas
ii gstreamer1-1.18.4_1                     Core GStreamer libraries and elements (1.x)
ii gtk+-2.24.32_4                          GTK+ toolkit (v2)
ii gtk+3-3.24.29_1                         GTK+ toolkit (v3)
ii gtk-update-icon-cache-2.24.32_4         GTK+ toolkit (v2) - The GTK+ update icon cache tool
ii gtkmm-3.24.4_1                          C++ bindings for The GTK+ toolkit (v3)
ii gzip-1.10_1                             GNU compression utility (replacement for compress)
ii hicolor-icon-theme-0.17_3               Standard icon theme called hicolor
ii htop-3.0.5_2                            Interactive process viewer
ii hwids-20201207_1                        Hardware Identification Databases
ii i3-4.19.2_1                             Improved tiling window manager
ii i3status-2.13_2                         Status bar generator for i3bar, dzen2, xmobar or similar programs
ii iana-etc-20210429_1                     Unix /etc/services and /etc/protocols files
ii icu-libs-67.1_2                         Robust and fully-featured Unicode libraries - shared libs
ii imlib2-1.7.1_1                          Image manipulation library
ii inih-53_1                               Simple ini file parser library
ii iproute2-5.12.0_1                       IP Routing Utilities
ii iptables-1.8.7_1                        Linux IPv[46] packet filtering ruleset
ii iputils-20210202_1                      Useful utilities for Linux networking (including ping)
ii ipw2100-firmware-1.3_6                  Firmware for the Intel PRO/Wireless 2100 wifi cards
ii ipw2200-firmware-3.1_6                  Firmware for the Intel PRO/Wireless 2200BG wifi cards
ii iw-5.9_1                                Utility for nl80211 based CLI configuration of wireless devices
ii jansson-2.13.1_1                        Library for encoding, decoding and manipulating JSON data
ii jbigkit-libs-2.2_1                      Data compression library/utilities for bi-level high-resolution images - shared libraries
ii json-c-0.15_1                           JSON implementation in C
ii json-glib-1.6.2_1                       JSON parser for GLib-based libraries and applications
ii jsoncpp-1.9.4_2                         JSON implementation in C++
ii kbd-2.4.0_1                             Linux keyboard utilities
ii kernel-libc-headers-5.10.4_1            Linux API headers for userland development
ii kmod-27_2                               Linux kernel module handling
ii kpartx-0.8.5_1                          Create device maps from partition tables
ii lcms2-2.12_1                            Small-footprint color management engine, version 2
ii less-581.2_1                            Pager program similar to more(1)
ii libICE-1.0.10_2                         Inter Client Exchange (ICE) library for X
ii libSM-1.2.3_1                           X Session Management Library
ii libX11-1.7.0_1                          Base X libraries from Xorg
ii libXau-1.0.9_1                          Authorization Protocol for X
ii libXau-devel-1.0.9_1                    Authorization Protocol for X - development files
ii libXaw-1.0.14_1                         X Athena Widgets Library
ii libXcomposite-0.4.5_1                   X Composite Library
ii libXcursor-1.2.0_1                      Client-side cursor loading library for X
ii libXdamage-1.1.5_1                      Xdamage extension Library
ii libXdmcp-1.1.3_1                        X Display Manager Control Protocol library
ii libXdmcp-devel-1.1.3_1                  X Display Manager Control Protocol library - development files
ii libXext-1.3.4_1                         X Extension library
ii libXfixes-5.0.3_3                       Xfixes library and extension of X RandR from modular X.org
ii libXfont2-2.0.4_1                       X font 2 Library
ii libXft-2.3.3_1                          Library for configuring and customizing font access
ii libXi-1.7.10_1                          X Input extension library
ii libXinerama-1.1.4_1                     X PanoramiX extension library
ii libXmu-1.1.3_1                          X Miscellaneous Utilities library
ii libXpm-3.5.13_1                         X PixMap Library from modular Xorg X11
ii libXrandr-1.5.2_1                       X RandR Library from X.org
ii libXrender-0.9.10_2                     X Render Library
ii libXt-1.2.1_1                           X Toolkit Intrinsics library
ii libXtst-1.2.3_2                         X Tst Library
ii libXxf86vm-1.1.4_3                      Library for the XFree86-VidMode X extension
ii libaio-0.3.112_1                        The Linux-native asynchronous I/O facility (aio) library
ii libarchive-3.5.1_2                      Library to read/write several different streaming archive formats
ii libargon2-20190702_3                    Password hashing library
ii libassuan-2.5.5_1                       IPC library used by some GnuPG related software
ii libasyncns-0.8_9                        C library for executing name service queries asynchronously
ii libblkid-2.36.2_1                       Library to handle device identification
ii libbluetooth-5.58_1                     Library to use the Bluez Linux Bluetooth Stack
ii libcanberra-0.30_11                     XDG Sound Theme and Name Specification library implementation
ii libcanberra-gtk3-0.30_11                XDG Sound Theme and Name Specification library implementation - GTK+ (3.x) support
ii libcap-2.49_1                           POSIX.1e capabilities suite
ii libcap-ng-0.8.2_1                       Alternate POSIX capabilities library
ii libcap-progs-2.49_1                     POSIX.1e capabilities suite - utilities
ii libcolord-1.4.5_2                       System daemon for managing color devices - runtime library
ii libcrypto1.1-1.1.1k_1                   Toolkit for Secure Sockets Layer and Transport Layer Security - crypto library
ii libcryptsetup-2.3.5_1                   Setup virtual encryption devices under Linux dm-crypt - runtime libraries
ii libcups-2.3.3op2_1                      Common Unix Printing System - client runtime shared libraries
ii libcurl-7.76.1_1                        Multiprotocol file transfer library
ii libdatrie-0.2.13_1                      Implementation of double-array structure for representing trie
ii libdb-5.3.28_8                          Berkeley DB embedded database system - C shared libraries
ii libdebuginfod-0.183_2                   Utilities to handle ELF object files - debuginfod library
ii libdrm-2.4.105_1                        Userspace interface to kernel DRM services
ii libedit-20210419.3.1_1                  Port of the NetBSD Command Line Editor Library
ii libefivar-37_1                          Library to manipulate EFI variables
ii libelf-0.183_2                          Utilities to handle ELF object files - runtime library
ii libelogind-246.9.2_3                    Standalone logind fork - elogind library
ii libepoxy-1.5.5_1                        Library for handling OpenGL function pointer management for you
ii libev-4.33_1                            High-performance event loop loosely modelled after libevent
ii libevdev-1.11.0_1                       Wrapper library for evdev devices
ii libevent-2.1.12_2                       Abstract asynchronous event notification library
ii libexif-0.6.22_1                        EXIF file library
ii libfdisk-2.36.2_1                       Library for fdisk(8)
ii libffi-3.3_2                            Library supporting Foreign Function Interfaces
ii libfftw-3.3.9_1                         Library for computing the discrete Fourier transform (DFT) - runtime libraries
ii libflac-1.3.3_3                         Free Lossless Audio Codec - shared libraries
ii libfontenc-1.1.4_1                      Fontenc Library from X.org
ii libgbm-21.0.3_2                         Mesa Generic buffer management API - runtime
ii libgcc-10.2.1pre1_3                     GNU Compiler Collection - GCC library
ii libgcc-devel-10.2.1pre1_3               GNU Compiler Collection - GCC library - development files
ii libgcrypt-1.9.3_1                       GNU cryptographic library
ii libgirepository-1.68.0_1                Library for handling GObject introspection data (runtime library)
ii libglapi-21.0.3_2                       Free implementation of the GL API - shared library
ii libglvnd-1.3.2_1                        GL Vendor-Neutral Dispatch library
ii libgomp-10.2.1pre1_3                    GNU Compiler Collection - OpenMP v4.0 library
ii libgpg-error-1.42_1                     Library for error values used by GnuPG component
ii libgpgme-1.15.1_1                       GnuPG Made Easy - library
ii libgudev-236_1                          Library providing GObject bindings for libudev
ii libgusb-0.3.6_1                         GLib wrapper around libusb1
ii libharfbuzz-2.8.1_1                     OpenType text shaping engine - runtime library
ii libical-3.0.8_3                         Reference implementation of the iCalendar data type and format
ii libid3tag-0.15.1b_8                     ID3 tag library, part of MAD (MPEG Audio Decoder)
ii libidn2-2.3.0_1                         Internationalized string handling library
ii libinput-1.17.1_1                       Provides handling input devices in Wayland compositors and X
ii libjack-1.9.18_1                        JACK Audio Connection Kit low-latency sound server (pro audio) - runtime library
ii libjpeg-turbo-2.1.0_1                   Derivative of libjpeg which uses SIMD instructions
ii libjpeg-turbo-tools-2.1.0_1             Derivative of libjpeg which uses SIMD instructions - bundled tools
ii libkmod-27_2                            Linux kernel module handling - runtime shared library
ii libksba-1.5.1_1                         CMS and X.509 access library
ii libldap-2.4.58_1                        OpenLDAP (Lightweight Directory Access Protocol) library
ii libldns-1.7.1_4                         Modern DNS/DNSSEC library
ii libllvm11-11.0.0_1                      Low Level Virtual Machine - runtime library
